,location,price,bedrooms,bathrooms,garage,area,preference
150,Zapopan,58000,3,4,4,700,0
151,Zona Real,23000,3,3,2,160,1
152,Zapopan,35000,3,4,2,190,1
153,Valle Real,26000,2,2,2,133,1
154,Valle Real,25000,2,2,2,105,1
155,Valle Real,23500,2,2,2,105,1
156,Royal Country,40900,2,2,2,164,1
157,Arboledas,17500,4,3,1,165,1
158,Zapopan,12900,3,3,2,115,1
159,Campo Real,8000,3,2,2,99,1
160,Vallarta la Patria,10000,0,1,1,40,1
161,Universitaria,24000,2,2,2,100,1
162,Valle Real,23000,2,2,2,121,1
163,Lomas Altas,8500,2,1,2,65,1
164,Chapalita de Occidente,24000,3,4,2,190,1
165,Altus Quintas,7400,3,3,2,80,1
166,Zapopan,8450,3,2,2,85,1
167,Residencial Los Sueños,45000,4,4,4,410,1
168,Puerta de Hierro,54500,3,3,3,183,0
169,Real del Parque,68000,3,4,3,550,0
170,Valle Real,27900,2,2,2,150,1
171,Francisco Sarabia,29500,3,3,4,270,1
172,Plaza Guadalupe,9000,3,1,1,80,1
173,Zona Real,23000,3,3,2,160,1
174,Puerta de Hierro,35000,2,2,2,92,1
175,Real Acueducto,45000,3,2,3,220,1
176,Lomas del Valle,135000,3,3,4,750,0
177,Colinas de San Javier,60000,2,2,2,84,0
178,Universitaria,73000,3,3,4,800,0
180,Zapopan,8950,2,2,2,84,1
181,Jardines Universidad,38000,4,4,3,300,1
182,Valle Real,18000,3,2,2,184,1
183,Misión la Floresta,9000,2,2,1,79,1
184,Parques Tepeyac,8600,2,2,1,64,1
185,Arboledas,13500,3,2,2,160,1
186,La Giralda,38000,3,3,3,330,1
187,Heroes Nacionales,9000,3,2,2,110,1
188,Zapopan,16500,2,2,3,120,1
189,Puerta de Hierro,115000,4,4,4,701,0
190,Jardines del Vergel,18500,6,4,2,144,1
191,Valle Real,17500,2,2,2,122,1
192,Valle Real,18500,2,2,2,123,1
193,Arcos de Guadalupe,17000,2,2,2,102,1
194,Lomas Altas,28000,3,2,2,200,1
195,Hogares de Nuevo México,11900,2,2,2,85,1
196,Los Pinos,22000,4,2,3,240,1
197,Puerta de Hierro,33500,2,2,2,92,1
198,Valle Real,75000,3,4,3,504,0
199,Arboledas,19000,3,2,2,180,1
200,Zapopan,62500,4,4,4,332,0
201,Lomas de Guadalupe,35000,4,4,2,377,1
202,Arcos de Guadalupe,33000,6,3,2,275,1
203,Puertas del Tule,25000,4,4,2,187,1
204,Real Acueducto,40000,3,2,2,95,1
205,Las Cumbres,45000,3,4,2,220,1
206,Altamira,20000,3,3,3,200,1
207,Victoria,40000,5,4,4,715,1
208,Nuevo México,25000,3,3,3,133,1
209,Real San Javier,45000,3,3,2,157,1
210,Real Vallarta,12500,2,2,2,100,1
211,Prados Tepeyac,28000,2,4,4,485,1
212,Heroes Nacionales,9000,3,2,2,110,1
213,Altamira,14500,2,2,1,133,1
214,Los Almendros,16500,4,3,2,140,1
215,Lomas de Zapopan,6900,2,1,1,79,1
216,Parque Metropolitano,18500,2,2,2,113,1
217,Las Cañadas,14000,2,2,2,85,1
